Term,Score,Polarity,isAcquired,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
abnormal,1,NEG,N,,,,,,,,,,,,,,,,,,,,
abolish,1,NEG,N,,,,,,,,,,,,,,,,,,,,
abominable,1,NEG,N,,,,,,,,,,,,,,,,,,,,
abominably,1,NEG,N,,,,,,,,,,,,,,,,,,,,
abominate,1,NEG,N,,,,,,,,,,,,,,,,,,,,
abomination,1,NEG,N,,,,,,,,,,,,,,,,,,,,
abort,1,NEG,N,,,,,,,,,,,,,,,,,,,,
aborted,1,NEG,N,,,,,,,,,,,,,,,,,,,,
aborts,1,NEG,N,,,,,,,,,,,,,,,,,,,,
abound,1,POS,N,,,,,,,,,,,,,,,,,,,,
abounds,1,POS,N,,,,,,,,,,,,,,,,,,,,
abrade,1,NEG,N,,,,,,,,,,,,,,,,,,,,
abrasive,1,NEG,N,,,,,,,,,,,,,,,,,,,,
abrupt,1,NEG,N,,,,,,,,,,,,,,,,,,,,
abruptly,1,NEG,N,,,,,,,,,,,,,,,,,,,,
abscond,1,NEG,N,,,,,,,,,,,,,,,,,,,,
absence,1,NEG,N,,,,,,,,,,,,,,,,,,,,
absentee,1,NEG,N,,,,,,,,,,,,,,,,,,,,
